,feature,corr_no_mods,corr_log_stretch,lasso_coef
36,paved_drive,0.2736612663649236,0.2736612663649291,0.0787294347754067
37,roof_style_Hip,0.26601041394524383,0.2660104139452423,0.0
38,garage_cond,0.2650659083253451,0.26499265186443666,0.008959335863481526
39,neighborhood_NoRidge,0.26338487556263274,0.26338487556263224,0.0
40,neighborhood_StoneBr,0.2569682984871733,0.2569682984871628,0.0
41,2nd_flr_sf,0.24882550331596165,0.1072069065285169,0.0
42,electrical,0.24789027915967926,0.25338015128960345,0.0008868021898767664
43,ms_zoning_RL,0.23156701783932487,0.23156701783932265,0.009332763522882115
44,bsmt_cond,0.2250956756219433,0.2260575530417236,0.0002718903635597505
45,garage_type_BuiltIn,0.2198004860555557,0.21980048605555852,0.0
46,land_contour_HLS,0.2122290193338602,0.21222901933386085,0.0
47,house_style_2Story,0.20227047542807586,0.20227047542807147,-0.0
48,bsmt_unf_sf,0.19088301709418215,0.16422977067837244,-0.007696227426653659
49,exterior_1st_CemntBd,0.16831846141713366,0.1683184614171298,-0.0
50,lot_config_CulDSac,0.1624082306320132,0.1624082306320152,0.0
51,exterior_2nd_CmentBd,0.15774784768840255,0.157747847688399,-0.0
52,neighborhood_Somerst,0.15005552064570674,0.15005552064570493,0.0006559308670099633
53,bedroom_abvgr,0.1371453856865253,0.1371453856865253,-0.0
54,alley_None,0.13509313748735083,0.13509313748735374,0.0
55,screen_porch,0.13455538780651688,0.12177410371208487,0.008844414874972995
56,functional,0.1257143039505505,0.12309388452147085,0.003933796397768264
57,neighborhood_Timber,0.11638497115732892,0.11638497115732997,-0.0
58,condition_1_Norm,0.1111994181715936,0.11119941817159362,0.042656319959920266
59,condition_1_PosN,0.1068663536757915,0.10686635367579096,0.0
60,ms_zoning_FV,0.10667314710746328,0.10667314710746183,0.027753064535418943
61,bldg_type_1Fam,0.1057713743872128,0.1057713743872118,0.0
62,condition_2_PosN,0.10345641702733695,0.1034564170273374,-0.0
63,condition_2_PosA,0.10104132872277909,0.10104132872277945,-0.0
64,roof_matl_WdShngl,0.09852344519634118,0.09852344519634387,0.0
65,heating_GasA,0.09404462166843579,0.09404462166843365,0.0
66,neighborhood_Veenker,0.0831768159554497,0.08317681595544975,-0.0
67,neighborhood_CollgCr,0.08227772809668665,0.08227772809668783,-0.0
68,condition_1_PosA,0.07092241566918259,0.07092241566918296,0.0
69,street_Pave,0.06984970717576106,0.0698497071757618,0.0
70,bldg_type_TwnhsE,0.0620065849863049,0.06200658498630593,0.0
71,neighborhood_Crawfor,0.05836545711487743,0.058365457114877714,0.03811880637514163
72,neighborhood_ClearCr,0.0524906996324357,0.05249069963243527,0.0
73,misc_feature_None,0.04893651842792678,0.04893651842792653,0.0
74,3ssn_porch,0.04872090864957098,0.04843833710079977,0.001417770815784693
75,roof_matl_WdShake,0.046176035648879045,0.04617603564887916,-0.0
76,land_slope,0.04412869982299906,0.05309753115009489,0.0003359688972735012
77,exterior_2nd_ImStucc,0.04262337997418264,0.042623379974182384,-0.0
78,house_style_2.5Fin,0.04251094659781859,0.042510946597819184,-0.0
79,neighborhood_GrnHill,0.03884543650925935,0.038845436509259645,0.0
80,exter_cond,0.03639269414196073,0.016803411249593166,0.00024008414320680004
81,neighborhood_NWAmes,0.03490284678104998,0.03490284678105017,-0.0
82,pool_qc,0.03394802992990916,0.03835686220808892,0.006136164313626971
83,sale_type_Con,0.033655878756563944,0.03365587875656454,0.0
84,land_contour_Low,0.0329363231799848,0.032936323179984774,-0.0
85,mo_sold,0.032508240664119795,0.032508240664119795,4.2728927073918625e-05
86,exterior_1st_Stone,0.030368289119099705,0.030368289119099934,-0.0
87,utilities,0.026408317407909342,0.027989354654692107,0.0033968907886558746
88,exterior_1st_BrkFace,0.02621961359309665,0.026219613593097026,0.04307151933868983
89,pool_area,0.025805390512439453,0.027284328671916207,0.0
90,neighborhood_Blmngtn,0.024887942655678424,0.02488794265567851,0.0
91,neighborhood_Gilbert,0.023946092480113226,0.023946092480113836,-0.0
92,exterior_1st_ImStucc,0.022443949561648083,0.022443949561648233,-0.0
93,sale_type_ConLI,0.01958163563136939,0.01958163563136947,-0.0
94,misc_feature_TenC,0.019099139448274134,0.01909913944827429,-0.0
95,roof_matl_Membran,0.016729898951300965,0.016729898951301038,0.0
96,neighborhood_SawyerW,0.016684146472787768,0.016684146472787924,-0.0
97,bsmtfin_sf_2,0.016398493348376366,-0.03644191646254638,-0.0032559507299270733
98,lot_config_FR3,0.014344652701597444,0.014344652701597597,-0.0
99,bsmtfin_type_2,0.014037124613370415,0.01122498442255919,0.0006471536540421332
100,roof_style_Shed,0.013132114436846216,0.01313211443684649,-0.0
101,condition_1_RRNn,0.011436017347686461,0.011436017347686603,-0.0
102,house_style_2.5Unf,0.010783419112760331,0.010783419112760925,0.0
103,exterior_2nd_BrkFace,0.01067284370907714,0.01067284370907707,-0.0
104,roof_style_Flat,0.010214601064368795,0.010214601064368709,-0.0
105,roof_matl_Tar&Grv,0.007008481746891451,0.007008481746891398,-0.0
106,sale_type_CWD,0.0045546810758925575,0.004554681075892683,0.0
107,neighborhood_Greens,0.003471761218612039,0.00347176121861205,0.0
108,condition_2_RRAe,0.0023750888814044182,0.002375088881404414,-0.0
109,foundation_Wood,-0.0030474430351343407,-0.003047443035134357,0.0
110,lot_config_Corner,-0.0044993876443346304,-0.004499387644334728,-0.0
111,misc_feature_Othr,-0.008845189134636722,-0.008845189134636772,0.0
112,condition_2_Norm,-0.00974620630469618,-0.009746206304696423,0.0
113,misc_val,-0.010322765451543366,-0.04364078769568681,-0.00011523100145994856
114,neighborhood_Landmrk,-0.012397822452663913,-0.012397822452663925,-0.0
115,condition_2_RRAn,-0.012424302199394771,-0.012424302199394775,-0.0
116,alley_Pave,-0.014547990232572734,-0.014547990232572621,0.0
117,lot_config_FR2,-0.014843951567420915,-0.01484395156742092,-0.0
118,condition_1_RRAn,-0.014969791250157564,-0.014969791250157974,-0.0
119,yr_sold,-0.015173676116029133,-0.015173676116029133,-0.0
120,misc_feature_Gar2,-0.01951399327259173,-0.01951399327259206,0.0
121,roof_style_Mansard,-0.021296772384560334,-0.021296772384560434,-0.0
122,house_style_1Story,-0.02181343115052804,-0.02181343115052804,-0.0
123,heating_OthW,-0.021973167441072233,-0.021973167441072375,-0.0
124,exterior_2nd_AsphShn,-0.023838862358771466,-0.0238388623587716,0.0
125,foundation_Stone,-0.02385948128076983,-0.02385948128077016,0.0
126,exterior_1st_BrkComm,-0.024382257227296953,-0.024382257227297227,-0.0
127,exterior_2nd_Stone,-0.0246491817052098,-0.024649181705210087,0.0
128,condition_1_RRNe,-0.025050431658224945,-0.025050431658225184,0.0
129,neighborhood_Blueste,-0.025232968827034567,-0.02523296882703478,0.0
130,exterior_1st_AsphShn,-0.02762367682291832,-0.027623676822918376,0.0
131,garage_type_2Types,-0.02964813927635248,-0.029648139276351255,-0.0
132,sale_type_Oth,-0.030114913460048368,-0.030114913460048538,0.0
133,condition_2_RRNn,-0.03340745926965977,-0.033407459269659934,0.0
134,ms_zoning_RH,-0.03412821688361719,-0.03412821688361869,0.0
135,ms_zoning_I (all),-0.03452234768175211,-0.034522347681752254,-0.0
136,exterior_1st_CBlock,-0.03478746000759276,-0.03478746000759283,-0.0
137,exterior_2nd_CBlock,-0.035280317413997356,-0.03528031741399748,-0.0
138,sale_type_ConLw,-0.035485574807673115,-0.0354855748076736,-0.0
139,neighborhood_Mitchel,-0.035599229323268505,-0.03559922932326862,0.0
140,heating_GasW,-0.03782630267545697,-0.037826302675457855,0.0
141,condition_2_Artery,-0.038948098369229356,-0.038948098369229946,-0.0
142,exterior_1st_Plywood,-0.03916097608555572,-0.03916097608555677,-0.0
143,low_qual_fin_sf,-0.04160798938613878,-0.06250147142253774,-0.004230753628631412
144,roof_style_Gambrel,-0.04189325197774354,-0.04189325197774408,-0.0
145,house_style_SLvl,-0.0421256354724194,-0.042125635472419244,-0.0
146,bsmt_half_bath,-0.04553366695799836,-0.04640935481198905,-0.0
147,neighborhood_NPkVill,-0.047307352803611764,-0.047307352803611445,0.0
148,misc_feature_Shed,-0.047440201794282974,-0.04744020179428212,-0.0
149,exterior_2nd_Brk Cmn,-0.04790459647628402,-0.047904596476283694,0.0
150,condition_2_Feedr,-0.048464963142331174,-0.04846496314233065,-0.0
151,exterior_1st_WdShing,-0.048885267057015735,-0.048885267057015847,0.0
152,id,-0.05141591008042224,-0.05141591008042224,1.0242954927628167e-05
153,exterior_2nd_Stucco,-0.051654933113173415,-0.051654933113172916,0.0
154,ms_zoning_A (agr),-0.052904898267026844,-0.05290489826702747,-0.0
155,condition_1_RRAe,-0.05364602818218255,-0.05364602818218003,-0.0
156,garage_type_Basment,-0.05573483687571578,-0.05573483687571566,-0.0
157,exterior_2nd_Plywood,-0.05958205395542409,-0.059582053955423375,-0.0
158,sale_type_ConLD,-0.060443116566646186,-0.06044311656664612,0.0
159,exterior_1st_Stucco,-0.060842351568098314,-0.060842351568099855,0.0
160,exterior_2nd_Wd Shng,-0.061186615445134956,-0.06118661544513581,0.0
161,house_style_SFoyer,-0.06410817774197783,-0.06410817774197729,0.0
162,house_style_1.5Unf,-0.06681548593049709,-0.06681548593049688,0.0
163,street_Grvl,-0.06984970717576107,-0.06984970717575965,-0.0
164,heating_Wall,-0.0713184276049558,-0.07131842760495687,-0.0
165,roof_matl_CompShg,-0.07165206885164047,-0.07165206885163733,0.0
166,garage_type_CarPort,-0.07196503113832155,-0.07196503113831967,-0.0
167,heating_Grav,-0.07255641265049673,-0.07255641265049811,-0.0
168,neighborhood_SWISU,-0.07423033179304626,-0.07423033179304735,-0.0
169,lot_config_Inside,-0.08248525200480021,-0.08248525200479924,0.0
170,ms_subclass,-0.08733120857793228,-0.049346814292357676,-0.0068533718275639605
171,land_contour_Lvl,-0.0935869503974209,-0.09358695039741902,-0.0
172,neighborhood_BrDale,-0.09531896206882548,-0.09531896206882313,-0.0
173,overall_cond,-0.09709281151955167,-0.12098676260132916,0.002728521861250183
174,land_contour_Bnk,-0.09875569109389906,-0.09875569109389705,0.0
175,exterior_2nd_HdBoard,-0.10251783246007687,-0.10251783246007952,0.0
176,bldg_type_Duplex,-0.10371617034537957,-0.10371617034537829,-0.0
177,sale_type_COD,-0.10762473866069129,-0.10762473866069278,-0.0033459252045998145
178,exterior_2nd_AsbShng,-0.11042041136592991,-0.11042041136593338,-0.0
179,bldg_type_2fmCon,-0.11144374262358418,-0.11144374262358812,-0.0
180,neighborhood_MeadowV,-0.11157316277863592,-0.11157316277863447,-0.0
181,bldg_type_Twnhs,-0.11392110722479742,-0.1139211072247983,-0.0
182,condition_1_Feedr,-0.11428969923010371,-0.11428969923010476,-0.0
183,exterior_1st_HdBoard,-0.11439222541801537,-0.11439222541801505,0.0
184,foundation_Slab,-0.11907000724310564,-0.11907000724310518,0.0
185,condition_1_Artery,-0.1250568374622527,-0.1250568374622539,-0.0069052800844407155
186,kitchen_abvgr,-0.12547241090451455,-0.12064985798833677,-0.0
187,ms_zoning_C (all),-0.12626720038541311,-0.12626720038540737,-0.0
188,exterior_1st_AsbShng,-0.12635857814988313,-0.12635857814988508,-0.034080446394163064
189,neighborhood_Sawyer,-0.1337257911272899,-0.13372579112729213,0.0
190,neighborhood_BrkSide,-0.13481764805224458,-0.1348176480522471,0.0
191,enclosed_porch,-0.1357127348297931,-0.18595862553771259,0.0007866832295365567
192,exterior_2nd_MetalSd,-0.13940547925872504,-0.1394054792587243,0.0
193,exterior_1st_MetalSd,-0.14991934434198959,-0.14991934434198514,0.0
194,fence,-0.15913646360962286,-0.13295791827745193,-0.0
195,alley_Grvl,-0.15913926126319197,-0.15913926126319644,-0.0
196,exterior_2nd_Wd Sdng,-0.17303150016682697,-0.17303150016683053,0.0
197,neighborhood_Edwards,-0.1768479002504317,-0.17684790025043115,-0.0
198,neighborhood_IDOTRR,-0.18926600571231517,-0.18926600571231703,-0.06844365303963684
199,neighborhood_NAmes,-0.18945636972604835,-0.18945636972604643,-0.0
200,exterior_1st_Wd Sdng,-0.19179885608712552,-0.1917988560871245,-0.01532711412408771
201,house_style_1.5Fin,-0.19585804895624198,-0.1958580489562363,-0.0
202,neighborhood_OldTown,-0.2084181181903812,-0.20841811819038508,-0.06159910856244395
203,sale_type_WD ,-0.21353611417563617,-0.2135361141756423,-0.0
204,foundation_BrkTil,-0.22994998658927962,-0.2299499865892802,-0.018201727317270492
205,garage_type_None,-0.23102952291696735,-0.23102952291696302,0.0
206,roof_style_Gable,-0.25001885748261155,-0.25001885748260533,0.0
207,pid,-0.2550677085231337,-0.2550677085231337,-5.5075777054884995e-11
208,ms_zoning_RM,-0.2820317902807963,-0.2820317902808,-0.0
209,lot_shape,-0.2967429816684825,-0.304825003050422,-0.0008864388549478748
210,foundation_CBlock,-0.35576802242584865,-0.35576802242584865,0.0
211,garage_type_Detchd,-0.37048506185968993,-0.3704850618596788,-0.0
212,is_train,,,0.0
213,roof_matl_Metal,,,0.0
214,roof_matl_Roll,,,0.0
215,exterior_1st_PreCast,,,0.0
216,exterior_2nd_Other,,,0.0
217,exterior_2nd_PreCast,,,0.0
218,heating_Floor,,,0.0
219,sale_type_VWD,,,0.0
